rank,youtuber,subscribers,videoviews,impression,videocount,category,started,uploadpermonth,region
322,Romeo Santos,19400000,14819598563,17487126304,28,Music,12/13/2005,0,Europe
323,Got Talent Global,19400000,7383775138,8565179160,2454,Entertainment,5/1/2013,18,Europe
324,Dr. Vivek Bindra: Motivational Speaker,19400000,1478660028,2617228250,683,Education,7/20/2013,5,Europe
325,Linkin Park,19300000,11783975855,16851085473,592,Music,8/1/2006,3,Asia
326,Gordon Ramsay,19300000,3631748240,6028702078,1287,Entertainment,8/20/2006,6,Europe
327,Troom Troom Es,19200000,7139476227,12993846733,2591,People & Blogs,7/26/2016,27,Asia
328,Gusttavo Lima Oficial,19200000,11815001366,15832101830,335,Music,4/18/2010,2,Europe
329,Kinder Spielzeug Kanal,19200000,9413508600,16661910222,699,Entertainment,2/27/2015,6,Asia
330,Infinite,19200000,4383533818,7057489447,1517,Entertainment,1/4/2014,12,Asia
331,Deddy Corbuzier,19200000,4075368246,4686673483,1132,Entertainment,10/27/2009,6,Asia
333,Robin Hood Gamer,19100000,9328209625,18096726673,3750,Entertainment,9/14/2014,32,Europe
334,â˜… Kids Roma Show,19100000,6410853410,9039303308,589,People & Blogs,7/10/2015,5,Europe
335,Fatos Desconhecidos,19100000,3252868093,3773326988,5240,Entertainment,5/4/2013,39,Europe
336,JukiLop,19100000,1540403509,2526261755,85,People & Blogs,3/9/2017,1,Asia
337,Crafty Panda,19000000,5672497949,8281847006,613,People & Blogs,2/18/2017,7,Asia
338,Kurzgesagt â€“ In a Nutshell,19000000,2052293685,2483275359,161,Education,1/13/2013,1,Europe
339,DLS News,19000000,1946197106,3814546328,3559,News & Politics,6/6/2017,42,Europe
340,NBA,18900000,10791851871,15971940769,42086,Sports,8/1/2005,183,Asia
341,Jimmy Kimmel Live,18800000,12472520905,19581857821,6073,Entertainment,12/27/2006,29,Europe
342,The ACE Family,18800000,4497282091,6071330823,668,People & Blogs,10/30/2016,7,Asia
343,Clash of Clans,18800000,3623586697,5073021376,553,Gaming,7/18/2013,4,Europe
344,Sun TV,18700000,13622998578,19617117952,34648,People & Blogs,1/21/2016,338,Europe
345,Ninja Kidz TV,18700000,9145485770,14815686947,267,Entertainment,3/9/2017,3,Asia
346,Netflix India,18700000,5228700571,7790763851,2707,People & Blogs,4/29/2016,27,Europe
347,Beast Reacts,18700000,2528480817,3160601021,215,People & Blogs,7/18/2016,2,Europe
348,Britain's Got Talent,18600000,10512530241,19237930341,3735,Entertainment,6/9/2008,19,Asia
349,TRT Originals Urdu,18600000,7370103100,13634690735,740,Entertainment,7/1/2020,15,Europe
350,Lil Nas X,18600000,5659051618,11261512720,37,Music,9/23/2018,1,Europe
351,Calvin Harris,18500000,14886853329,18608566661,76,Music,12/28/2007,0,Europe
352,Green Gold TV - Official Channel,18500000,8985315647,17161952886,1090,Film & Animation,10/24/2011,7,Asia
353,TheWillyrex,18500000,6957319094,12105735224,6798,Comedy,4/30/2011,42,Europe
354,Cardi B,18500000,7069624864,12796021004,60,People & Blogs,1/21/2016,1,Europe
355,invictor,18500000,7050721828,8601880630,2106,Gaming,8/1/2013,16,Europe
356,shakiraVEVO,18400000,22257341033,25818515598,189,Music,8/7/2009,1,Europe
357,CKN,18300000,18786377776,22731517109,814,Entertainment,3/2/2015,7,Asia
358,Official Pink Panther,18300000,9942133522,14714357613,629,Film & Animation,4/24/2013,5,Asia
359,Sonotek,18300000,7133240982,12411839309,8169,Entertainment,9/8/2011,52,Europe
360,MiawAug,18200000,5236302709,9058803687,3287,Gaming,6/21/2014,27,Asia
361,KBS WORLD TV,18200000,13926619677,23118188664,58485,Entertainment,5/28/2007,281,Europe
362,Turma da MÃ´nica,18200000,13088159940,21726345500,1094,Film & Animation,7/14/2012,8,Europe
363,CookieSwirlC,18200000,20938593710,32454820251,3571,Entertainment,2/2/2013,26,Europe
364,David Dobrik,18200000,7087407988,12828208458,536,People & Blogs,5/24/2014,4,Asia
365,Unbox Therapy,18200000,4332532776,8361788258,2053,Science & Technology,8/5/2010,12,Europe
366,The Royalty Family,18200000,4490004408,8306508155,633,People & Blogs,12/4/2017,8,Europe
367,A_S Gaming,18200000,2476464261,2996521756,932,Gaming,8/18/2016,10,Europe
368,HiMan,18200000,2367699484,2841239381,326,People & Blogs,10/14/2014,3,Asia
369,BabyBus - Cerita & Lagu Anak-anak,18100000,10232250581,15757665895,672,Education,2/3/2019,10,Asia
370,Dan-Sa / Daniel Saboya,18100000,6165702828,9803467497,2062,Music,10/3/2007,10,Asia
371,Vania Mania Kids,18100000,6908411472,11191626585,825,People & Blogs,12/16/2015,8,Europe
372,PDK Films,18100000,3910330714,6452045678,108,Entertainment,8/13/2009,1,Asia
373,GEN HALILINTAR,18100000,3178960318,5722128572,969,Entertainment,2/2/2015,8,Asia
374,ElTrollino,18000000,5486103239,6309018725,1517,Entertainment,10/11/2013,12,Europe
375,ÐœÐ¸Ñ€Ð¾ÑˆÐºÐ° Ð¢Ð’,18000000,4603751673,6491289859,84,Education,9/25/2018,1,Europe
376,TheOdd1sOut,18000000,4023496321,4787960622,113,Comedy,9/29/2014,1,Europe
377,INCRÃVEL,18000000,3017467860,5280568755,5682,People & Blogs,7/2/2017,67,Europe
378,Emiway Bantai,18000000,3038899728,5074962546,201,Music,10/26/2013,2,Europe
379,Vsauce,18000000,2415927927,2826635675,391,Science & Technology,3/30/2007,2,Asia
380,Farruko,17900000,8480000414,16620800811,193,Music,8/8/2009,1,Europe
381,Diana and Roma EN,17900000,3868166958,5260707063,424,People & Blogs,2/25/2011,3,Asia
382,ArianaGrandeVevo,17800000,19011269725,23003636367,177,Music,1/15/2010,1,Europe
383,Like Nastya Vlog,17800000,7561933732,13611480718,397,People & Blogs,5/1/2016,4,Europe
384,Demi Lovato,17800000,6495131112,7924059957,282,Music,6/12/2008,1,Europe
385,Lele Pons,17800000,4958584356,7388290690,154,Comedy,3/25/2015,1,Europe
386,Lil Pump,17800000,4091109829,5072976188,59,Music,7/1/2015,1,Europe
387,Naisa Alifia Yuriza (N.A.Y),17800000,2521515641,2874527831,1462,People & Blogs,7/14/2017,17,Asia
388,SCTV,17700000,8588329369,13827210284,50080,Entertainment,9/16/2011,322,Europe
389,Good Mythical Morning,17700000,8074270215,10254323173,2980,Entertainment,5/18/2008,15,Europe
390,TheGrefg,17700000,6077820746,10575408098,3332,Gaming,9/21/2012,23,Asia
391,Ali-A,17700000,5766028299,9340965844,3920,Gaming,12/11/2006,18,Asia
392,Marmok,17700000,3131925799,4196780571,344,Gaming,9/27/2008,2,Europe
393,Mother Goose Club Playhouse,17600000,15500399390,23250599085,1282,Shows,2/28/2009,7,Europe
394,RsiamMusic : à¸­à¸²à¸£à¹Œà¸ªà¸¢à¸²à¸¡,17600000,10952154122,12047369534,2663,Music,8/14/2011,17,Europe
395,Little Angel EspaÃ±ol - Canciones Infantiles,17600000,8525569510,10145427717,580,Education,1/6/2018,7,Europe
396,ÐŸÐ¾Ð·Ð½Ð°Ð²Ð°Ñ‚ÐµÐ»ÑŒ,17600000,8522826642,9886478905,476,Entertainment,9/7/2014,4,Europe
397,JFlaMusic,17600000,3657526529,6217795099,282,Music,9/2/2011,2,Europe
398,Village Cooking Channel,17600000,4477436881,5552021732,211,Howto & Style,11/20/2018,3,Asia
399,FactTechz,17500000,2112929572,3465204498,578,Entertainment,5/11/2016,6,Europe
400,SebastiÃ¡n Yatra,17400000,9316925082,11366648600,196,News & Politics,8/11/2013,1,Europe
401,officialpsy,17400000,9825292199,13165891547,119,Music,11/6/2010,1,Asia
403,Porta dos Fundos,17400000,7258838590,8347664379,1960,Entertainment,7/22/2012,14,Europe
404,Liza Koshy,17400000,2595554113,4126931040,189,Comedy,1/3/2013,1,Asia
405,etvteluguindia,17300000,19465295267,33285654907,111360,Entertainment,11/25/2010,674,Europe
406,Vijay Television,17300000,19901616359,22687842649,27059,Entertainment,1/1/2007,127,Asia
407,TED-Ed,17300000,3287834094,4241305981,1948,Education,7/12/2011,12,Europe
408,Stubborn Facts,17300000,827786482,1283069047,217,Film & Animation,6/19/2016,2,Asia
409,PopularMMOs,17200000,14475783059,21279401097,4686,Gaming,12/28/2012,34,Europe
410,SQUEEZIE,17200000,9258609822,15276706206,1471,Gaming,6/28/2011,9,Europe
411,Masha e o Urso,17200000,7131816532,9128725161,856,Shows,2/29/2016,8,Europe
412,Willyrex,17200000,4808457361,7741616351,6686,Gaming,7/18/2009,37,Europe
413,RobleisIUTU,17200000,4680573231,7442111437,1145,Entertainment,3/15/2013,8,Europe
414,EeOneGuy,17200000,3804413513,6049017486,363,Entertainment,1/16/2013,3,Europe
415,LuisFonsiVEVO,17100000,14008585257,23114165674,96,Music,2/28/2009,1,Asia
416,GRAMMY GOLD OFFICIAL,17100000,17974040182,27320541077,5334,Music,9/12/2014,45,Europe
417,SUPER SLICK SLIME SAM,17100000,6078466417,7719652350,741,Howto & Style,4/25/2018,10,Asia
418,HowToBasic,17100000,3561001854,4700522447,563,Howto & Style,11/22/2011,4,Asia
419,æŽå­æŸ’ Liziqi,17100000,2801548472,3389873651,128,Howto & Style,1/16/2017,1,Europe
420,Gaby and Alex,17000000,7942553236,12152106451,351,Entertainment,11/13/2012,2,Europe
421,Ø´Ø¨ÙƒØ© Ø§Ù„Ø¹Ø§Ø¨ Ø§Ù„Ø¹Ø±Ø¨ | Arab Games Network,17000000,7723277433,9654096791,5515,Gaming,9/15/2013,42,Asia
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,17000000,6221383175,7216804483,192,Education,11/1/2017,2,Europe
423,Rafa & Luiz,17000000,6273315738,7967110987,2184,Entertainment,6/24/2015,20,Europe
424,Khan GS Research Centre,17000000,1670639781,2940326015,347,Education,2/13/2019,5,Europe
425,à¤¹à¤¿à¤‚à¤¦à¥€ - Genevieve's Playhouse,16900000,9195178282,16367417342,96,Education,2/3/2018,1,Europe
426,Ø§Ù„Ù€Ø±ÙŠÙ…Ø§Ø³ - Al-Remas,16900000,10550888024,18147527401,2047,Music,10/5/2013,16,Europe
427,Junya.ã˜ã‚…ã‚“ã‚„,16900000,9529205653,16485525780,3150,Entertainment,9/10/2020,69,Asia
428,Guava Juice,16900000,8614218175,14816455261,1754,Gaming,3/27/2006,8,Asia
429,Doggy Doggy Cartoons,16800000,6459285262,11755899177,4723,Entertainment,12/22/2012,34,Europe
430,IGN,16800000,14633922961,29267845922,149770,Gaming,10/12/2006,695,Asia
431,Jason Derulo,16800000,8808599101,12596296714,451,Music,11/5/2008,2,Europe
432,Maya and Mary,16800000,6304251610,8699867222,539,Entertainment,3/9/2013,4,Asia
433,DUDU e CAROL,16700000,6530946230,7445278702,2874,Autos & Vehicles,9/17/2013,22,Asia
435,Anitta,16700000,6610175435,11105094731,99,Music,5/1/2011,1,Europe
436,Werever2morro,16700000,2714071108,3718277418,972,Entertainment,5/26/2007,5,Asia
437,Triggered Insaan,16700000,2657491028,5128957684,265,Comedy,5/5/2014,2,Asia
438,7clouds,16600000,11637964945,15245734078,1940,Music,4/9/2013,14,Europe
439,Tu COSMOPOLIS,16600000,4875900353,7898958572,6796,People & Blogs,1/22/2014,54,Asia
440,DeToxoMoroxo,16600000,2212149791,3694290151,488,Entertainment,12/20/2012,3,Asia
441,Sourav Joshi Vlogs,16500000,5970849535,10926654649,1039,People & Blogs,6/28/2019,17,Asia
442,TheBrianMaps,16500000,4090289417,5930919655,476,Comedy,11/13/2012,3,Asia
443,Manual do Mundo,16500000,3367572384,6196333187,2117,Howto & Style,8/28/2006,10,Asia
444,SonyMusicSouthVEVO,16400000,15090557603,22183119676,4304,Music,3/20/2014,34,Asia
445,zbing z.,16400000,8307904773,9221774298,2763,Gaming,5/24/2014,23,Europe
446,Dhar Mann,16400000,8642459264,11667320006,649,People & Blogs,2/21/2018,8,Asia
447,IDEAS EN 5 MINUTOS,16400000,3509049258,5825021768,4658,Howto & Style,11/18/2017,58,Asia
448,W2S,16300000,4739609055,9100049386,653,Gaming,5/24/2012,4,Asia
449,Shemaroo Comedy,16300000,4923411314,5661923011,3467,Entertainment,5/21/2007,17,Asia
450,ExtraPolinesios,16300000,4696367446,6434023401,480,People & Blogs,7/10/2012,3,Asia
451,Goldmines Great Indian Comedy,16300000,4238595667,4916770974,2008,Film & Animation,2/29/2016,20,Asia
452,Prajapati News,16300000,907965523,1616178631,1081,Comedy,11/10/2013,8,Asia
453,SOMOY TV,16200000,9476895180,11087967361,124072,News & Politics,1/26/2015,1084,Europe
454,Sony AATH,16200000,10718891416,19401193463,14759,Shows,2/9/2013,107,Asia
455,Miley Cyrus,16200000,6235405830,9353108745,124,Entertainment,2/2/2009,1,Europe
456,Sandra Cires Art,16200000,3702173328,5294107859,953,Howto & Style,10/27/2011,6,Asia
457,tanboy kun,16200000,3020272233,4530408350,582,People & Blogs,6/19/2016,6,Asia
458,Sidhu Moose Wala,16200000,4078330367,5587312603,111,Music,6/22/2017,1,Europe
459,Blippi - Educational Videos for Kids,16100000,12991967769,19358031976,453,Education,2/21/2014,4,Europe
460,Queen Official,16100000,9723539941,16530017900,908,Music,7/2/2008,5,Europe
461,Travis Scott,16100000,7187033169,8696310134,13,Music,3/16/2013,0,Asia
462,Les' Copaque Production,16100000,7954662776,13920659858,1427,Film & Animation,3/26/2009,8,Asia
463,Zuni and Family,16100000,5830669187,6588656181,176,People & Blogs,10/14/2017,2,Asia
464,Sidemen,16100000,4196033350,6503851693,264,Entertainment,2/17/2015,2,Europe
465,The Game Theorists,16100000,3546490692,5390665852,659,Gaming,6/26/2009,4,Asia
466,Antrax,16100000,2949891202,4690327011,654,Gaming,2/13/2015,6,Asia
467,Canal IN,16100000,2573050059,4811603610,723,People & Blogs,1/21/2017,8,Asia
468,Dushyant kukreja,16000000,11095340736,17752545178,571,Entertainment,7/29/2015,5,Asia
469,TRANS TV Official,16000000,8780937851,10273697286,123467,Entertainment,3/20/2014,989,Europe
470,Little Mix,16000000,7047968268,14095936536,278,Music,11/8/2011,2,Europe
471,RKD Studios,16000000,4133234619,4877216850,622,Entertainment,4/26/2014,5,Europe
472,FailArmy,16000000,2041620563,3184928078,337,Comedy,3/2/2011,2,Asia
473,El Reino a Jugar,15900000,10175537321,16484370460,872,Education,7/9/2015,8,Asia
474,DopeLyrics,15900000,9803533121,13822981701,1937,Music,1/11/2016,19,Europe
475,Boyce Avenue,15900000,6230190520,11338946746,438,Music,1/30/2007,2,Europe
476,Camila Cabello,15900000,6086165889,7912015656,61,Music,10/25/2015,1,Asia
477,VICE,15900000,4174962442,8015927889,3694,Entertainment,10/26/2005,16,Asia
478,Kaykai Salaider,15900000,4248704474,7435232830,399,Comedy,3/16/2011,2,Europe
479,Fede Vigevani,15900000,4745414554,7497754995,865,Howto & Style,7/14/2009,5,Asia
480,Marques Brownlee,15900000,3082486680,5486826290,1454,Science & Technology,4/23/2008,7,Europe
481,jeffreestar,15900000,2575183135,3965782028,428,Howto & Style,9/24/2006,2,Asia
482,Apple,15900000,808136104,1212204156,205,Science & Technology,7/18/2005,1,Asia
483,Kids Play,15800000,7713981883,12110951556,545,Entertainment,9/16/2018,8,Europe
484,Aayu and Pihu Show,15800000,7837311552,14028787678,352,Comedy,11/10/2017,4,Europe
485,JJ Olatunji,15800000,3631494389,6573004844,1183,Gaming,9/28/2011,8,Asia
486,Katie Angel,15800000,3007947714,5263908500,732,People & Blogs,1/18/2015,6,Asia
487,MissaSinfonia,15800000,1918777559,2340908622,232,Comedy,12/8/2011,2,Asia
488,AMARINTV : à¸­à¸¡à¸£à¸´à¸™à¸—à¸£à¹Œà¸—à¸µà¸§à¸µ,15700000,11194074075,18358281483,97231,Entertainment,10/8/2014,823,Europe
489,Rotten Tomatoes Trailers,15700000,12811981848,18064894406,9582,Film & Animation,8/19/2011,61,Asia
490,Pitbull,15700000,11458130113,19707983794,302,Music,12/25/2006,1,Asia
491,Enes Batur,15700000,9410061135,16185305152,1979,Gaming,6/3/2012,13,Asia
492,Jennifer Lopez,15700000,9512025119,10463227631,224,Music,4/10/2005,1,Asia
493,Jason Vlogs,15700000,7137778517,11991467909,666,Education,4/19/2015,6,Asia
494,Alejo Igoa,15700000,5276127016,10288447681,699,Comedy,11/1/2014,6,Asia
495,Matt Stonie,15700000,3249162653,5783509522,401,Entertainment,6/12/2012,3,Asia
496,Caeli YT,15700000,1509244860,1841278729,545,Entertainment,12/24/2010,3,Asia
497,Pop Chartbusters,15600000,7817983360,11257896038,2154,Music,7/25/2011,14,Asia
498,Tilak,15600000,6132515137,8769496646,3614,Film & Animation,10/18/2020,81,Asia
499,AdMe,15600000,4012749893,6661164822,5356,Entertainment,10/3/2015,50,Europe
500,FunFun Toy Doll TV,15500000,6948469648,11117551437,706,Entertainment,11/15/2016,8,Asia
501,News24,15500000,5982443648,8794192163,157377,News & Politics,6/14/2014,1290,Asia
502,Roman Atwood Vlogs,15500000,5442036950,9850086880,1726,People & Blogs,10/14/2013,13,Asia
503,Dyland PROS,15500000,1294519810,2563149224,1803,Entertainment,4/15/2015,16,Asia
504,Gato Galactico | GALÃXIA,15400000,5602802498,10253128571,2085,Film & Animation,11/11/2013,16,Europe
505,FitDance,15400000,6541827030,10205250167,3537,Music,6/21/2013,26,Asia
507,wifistudy,15400000,2805232542,4684738345,46290,Education,5/22/2014,377,Europe
510,SriBalajiMovies,15200000,8199671601,14759408882,16953,Entertainment,11/5/2011,110,Asia
511,Oyuncak AvÄ±,15200000,8085387780,13179182081,544,Entertainment,9/29/2014,5,Asia
512,AdeleVEVO,15200000,11470355227,14108536929,51,Music,6/22/2009,0,Europe
513,Camilo,15200000,6003697328,9665952698,80,Music,3/4/2010,0,Europe
514,Kerajinan 5-Menit,15200000,4465727515,7993652252,3392,People & Blogs,5/2/2018,45,Asia
515,Bizarrap,15200000,4683488651,8898628437,78,Comedy,9/26/2017,1,Asia
516,T3ddy,15200000,2528566554,4677848125,1700,Comedy,1/4/2012,11,Europe
517,Musas,15200000,2359375167,2642500187,611,Howto & Style,4/19/2012,4,Asia
518,Dan Rhodes,15100000,10715145365,15536960779,1315,Entertainment,7/1/2015,12,Asia
519,With Kids[ìœ„ë“œí‚¤ì¦ˆ],15100000,7990515155,13983401521,863,Entertainment,4/10/2012,6,Asia
520,And TV,15100000,11583824903,14016428133,26477,Entertainment,12/6/2015,255,Europe
521,TheRichest,15100000,2919203136,4057692359,2206,Education,12/9/2014,19,Asia
522,LOKESH GAMER,15100000,1535589708,2364808150,1186,Gaming,1/1/2017,13,Europe
523,Technoblade,15100000,1488692745,2099056770,988,Gaming,6/5/2013,7,Asia
524,Ch7HD,15000000,11688798550,19286517608,49889,Entertainment,7/28/2010,295,Europe
525,POPS Kids,15000000,8678492072,15274146047,4478,Music,8/30/2014,38,Europe
526,SAM SMITH,15000000,8769075543,15082809934,67,Music,4/29/2012,0,Asia
527,Like Nastya IDN,15000000,6483845834,7975130376,430,Entertainment,10/4/2019,7,Europe
528,Like Nastya VNM,15000000,8132415475,10165519344,456,Entertainment,7/23/2019,8,Asia
529,5-Minute Crafts FAMILY,15000000,5438131771,10821882224,3440,People & Blogs,1/19/2018,44,Asia
530,zayn,15000000,4559692349,8936997004,14,Music,4/10/2016,0,Asia
531,Makiman131,15000000,4484263923,5112060872,3102,Gaming,7/1/2013,23,Asia
532,Ø­ÙØ±Ù Ø¥Ø¨Ø¯Ø§Ø¹ÙŠØ© ÙÙŠ 5 Ø¯Ù‚Ø§Ø¦Ù‚,15000000,4160511912,7447316322,4404,Howto & Style,7/17/2017,52,Europe
533,Stokes Twins,15000000,2774875062,4384302598,216,People & Blogs,11/26/2008,1,Europe
534,Ranz Kyle,15000000,1678559984,3088550371,479,People & Blogs,1/9/2008,2,Europe
535,ÐÐ¢Ð’,14900000,439098,584000,1,People & Blogs,5/12/2008,0,Asia
536,Henrique e Juliano,14900000,12484253152,23595238457,285,Music,8/1/2009,2,Europe
537,LEGO,14900000,18840617532,34478330084,28683,Entertainment,4/7/2005,123,Asia
538,Volga Video,14900000,9171517368,14490997441,18735,Film & Animation,6/2/2012,128,Europe
539,Lahari Music | T-Series,14900000,10469251425,19158730108,8169,Music,5/6/2011,51,Asia
540,Kwebbelkop,14900000,6655475239,11314307906,4951,Gaming,11/8/2008,26,Europe
541,Talking Tom & Friends,14900000,6178735188,11739596857,392,Entertainment,8/2/2010,2,Europe
542,Mariale,14900000,2568493946,3698631282,1918,Howto & Style,6/15/2010,11,Europe
543,Harsh Beniwal,14900000,1630452954,2315243195,158,Comedy,11/22/2015,2,Europe
544,GMMTV OFFICIALâ€‹â€‹,14800000,10387146066,11841346515,19368,Entertainment,8/11/2010,115,Asia
545,BIGBANG,14800000,7353265213,10956365167,776,Music,7/28/2005,3,Europe
546,La Rosa de Guadalupe,14800000,8349695433,14611967008,5225,Entertainment,9/30/2015,49,Europe
547,Dave and Ava - Nursery Rhymes and Baby Songs,14800000,9864262216,14007252347,732,Education,10/19/2014,6,Europe
548,League of Legends,14800000,6604382784,8123390824,1340,Gaming,10/20/2009,8,Europe
549,Super Senya,14800000,4790199895,5604533877,525,Entertainment,7/4/2016,5,Europe
550,Lachlan,14800000,5013387703,9675838267,3646,Gaming,8/19/2013,28,Asia
551,Reaction Time,14800000,4255591418,5659936586,1684,Entertainment,2/17/2015,15,Europe
552,ERB,14800000,3905723697,7303703313,85,Entertainment,11/13/2006,0,Asia
553,YOLO AVENTURAS,14800000,3689834035,5829937775,976,People & Blogs,9/5/2018,14,Asia
554,MrBeast Shorts,14800000,1938796955,3315342793,87,People & Blogs,5/18/2020,2,Asia
555,Niana Guerrero,14800000,1359023136,1902632390,391,Entertainment,7/27/2013,3,Europe
556,ZÃ© Neto e Cristiano,14700000,10398104437,12165782191,212,Music,10/3/2012,1,Asia
557,Dangal TV Channel,14700000,8282592676,9524981577,8625,Entertainment,1/20/2017,96,Asia
558,MK MUSIC,14700000,7773089325,11426441308,4624,Music,9/14/2010,28,Asia
559,NDTV India,14700000,5647481648,9600718802,65241,News & Politics,9/25/2008,341,Europe
560,les boys tv2,14700000,4518966874,8043761036,381,Entertainment,10/1/2017,5,Asia
561,iTownGamePlay *Terror&DiversiÃ³n*,14700000,4784433628,9186112566,7674,Entertainment,4/6/2012,52,Asia
562,Planeta das GÃªmeas,14700000,4468774867,8803486488,899,People & Blogs,6/11/2015,8,Europe
563,IDEIAS INCRÃVEIS,14700000,3498040367,6506355083,4643,Howto & Style,12/4/2017,58,Asia
564,Linus Tech Tips,14700000,6062569897,9942614631,5864,Science & Technology,7/18/2008,30,Asia
565,Maroon5VEVO,14600000,18917303323,23835802187,143,Music,11/17/2009,1,Asia
566,Major Lazer Official,14600000,8886913617,10753165477,407,Music,1/17/2009,2,Asia
567,Jorge & Mateus Oficial,14600000,7981563626,11812714166,294,Music,2/4/2008,1,Asia
568,NMF News,14600000,6090840731,11877139425,95987,News & Politics,4/20/2013,706,Europe
569,BBC News Hindi,14600000,5544547819,9370285814,16437,News & Politics,6/27/2009,90,Asia
570,Lilly Singh,14600000,3480250258,6229647962,858,Comedy,12/23/2010,5,Asia
571,MattyBRaps,14600000,3226020734,4677730064,175,Music,4/12/2010,1,Asia
572,Daftar Populer,14600000,1859586741,2975338786,2898,Education,2/11/2017,32,Asia
573,LEGENDA FUNK,14600000,1310544121,2136186917,2250,Music,1/14/2013,16,Europe
574,SelenaGomezVEVO,14500000,10323589482,17653338014,183,Music,12/3/2009,1,Asia
575,El Payaso Plim Plim,14500000,12573029533,22882913750,992,Film & Animation,11/28/2013,8,Asia
577,Thairath Online,14500000,11995915981,19553343049,209097,News & Politics,1/30/2010,1194,Asia
578,CollegeHumor,14500000,7331868655,13050726206,3307,Comedy,3/25/2006,15,Asia
579,Bollywood Classics,14500000,6036342725,11770868314,1147,Entertainment,11/3/2011,7,Europe
580,Zhong,14500000,9685321623,17046166056,1081,Entertainment,6/6/2015,10,Europe
581,Wow Kidz Action,14500000,6378481319,11226127121,1445,Film & Animation,9/27/2017,18,Europe
582,News18 India,14500000,5069817134,6185176903,120858,News & Politics,1/9/2007,569,Asia
583,XpressTV,14500000,3644137000,5028909060,630,Entertainment,6/17/2014,5,Asia
584,Maha Fun Tv,14500000,2385190008,2671412809,51,Entertainment,2/7/2017,1,Europe
585,Mobile Legends: Bang Bang Official,14500000,2655046551,3186055861,2410,Gaming,11/26/2016,26,Asia
586,Ø­Ù‚Ø§Ø¦Ù‚ ÙˆØ£Ø³Ø±Ø§Ø±,14500000,2175911149,2850443605,1312,Entertainment,7/2/2016,14,Europe
587,Drawblogs,14500000,1694934569,2169516248,362,Entertainment,11/12/2014,3,Europe
588,Canal Nostalgia,14500000,1416689094,2535873478,370,Entertainment,12/8/2008,2,Europe
589,Fifth Harmony,14400000,7526971366,14903403305,67,Music,6/25/2013,1,Asia
590,Team Films Bhojpuri,14400000,6164527861,9246791792,20085,Music,1/27/2014,159,Asia
591,Chad Wild Clay,14400000,6161605244,11768666016,630,Comedy,6/1/2006,3,Asia
592,Boram Tube ToysReview [ë³´ëžŒíŠœë¸Œ í† ì´ë¦¬ë·°],14400000,4914128767,6634073835,568,People & Blogs,10/16/2016,6,Asia
593,Martin Garrix,14400000,5558117744,6669741293,305,Music,10/18/2011,2,Asia
594,LIV Crime,14400000,7061275751,10591913627,4281,People & Blogs,12/2/2020,99,Asia
595,Super Polina,14400000,4812187551,7843865708,539,People & Blogs,3/22/2014,4,Europe
596,Rclbeauty101,14400000,3919524704,7603877926,478,Comedy,3/26/2010,3,Europe
597,TWICE,14400000,3733683543,5749872656,852,Music,8/11/2016,9,Asia
598,Arif muhammad,14400000,3400090845,5508147169,428,People & Blogs,10/11/2017,5,Europe
599,Cyprien,14400000,3005899595,3967787465,205,Comedy,6/19/2007,1,Europe
600,The Slow Mo Guys,14400000,2346592288,2909774437,297,Entertainment,9/9/2010,2,Asia
601,Ð”Ð¸Ð¼Ð° ÐœÐ°ÑÐ»ÐµÐ½Ð½Ð¸ÐºÐ¾Ð²,14400000,2013234398,3583557228,401,Entertainment,7/23/2014,3,Europe
602,Genierock,14300000,13310308313,14641339144,1540,Music,1/20/2008,8,Asia
603,mujjuu___14,14300000,9548597909,13654495010,556,People & Blogs,3/23/2020,11,Europe
604,PlayStation,14300000,4230572281,4822852400,17878,Gaming,10/16/2005,79,Europe
605,Gyan Gamingã…¤,14300000,2081351545,4058635513,2514,Gaming,4/25/2017,29,Asia
606,Zach King,14300000,2014152450,2578115136,398,Entertainment,11/17/2013,3,Europe
607,It's Mamix,14300000,1547521967,2785539541,200,People & Blogs,6/19/2017,2,Europe
608,Hear This Music,14200000,8511385256,12596850179,38,Music,4/30/2016,0,Europe
609,Unspeakable,14200000,7365642885,8617802175,668,Gaming,10/12/2016,7,Asia
610,SIS vs BRO,14200000,6767838159,7512300356,357,Entertainment,1/14/2016,3,Asia
611,Mohamed Ramadan I Ù…Ø­Ù…Ø¯ Ø±Ù…Ø¶Ø§Ù†,14200000,4812994887,9433469979,599,People & Blogs,10/20/2014,5,Asia
612,Trap City,14200000,4885163357,7327745036,2554,Music,5/29/2012,17,Europe
613,Totoy kids - EspaÃ±ol,14200000,4533034236,6799551354,167,Film & Animation,8/20/2017,2,Asia
614,Camila Loures,14200000,4189052804,7247061351,3429,Music,8/24/2014,29,Europe
615,Zach Choi ASMR,14200000,2512937687,3869924038,638,People & Blogs,6/15/2014,5,Europe
616,MalumaVEVO,14100000,17905081262,28469079207,168,Music,5/19/2011,1,Asia
617,ABS-CBN News,14100000,9438904191,18594641256,174684,News & Politics,6/25/2009,957,Asia
618,CNN,14100000,12083277333,14258267253,155569,News & Politics,4/2/2005,665,Asia
619,Zee Music Classic,14100000,5021164640,7280688728,964,Music,6/15/2014,8,Europe
